learning_rate,n_estimators,R2
0.1,10,0.8347097845294907
0.1,25,0.9783193913155983
0.1,50,0.9951505995738495
0.1,75,0.9968899130309188
0.1,100,0.9975520869731076
0.25,10,0.9807318420492109
0.25,25,0.9952030723969421
0.25,50,0.997103641173187
0.25,75,0.9978503370282381
0.25,100,0.9982303245558093
0.5,10,0.9900316213498584
0.5,25,0.9950180730031173
0.5,50,0.9970239939776743
0.5,75,0.997786574320414
0.5,100,0.9981860748144464
0.75,10,0.9879144409629841
0.75,25,0.994134595537909
0.75,50,0.9965258963286553
0.75,75,0.9974274432457941
0.75,100,0.9978917572607079
1.0,10,0.9837304649957126
1.0,25,0.9919556170822581
1.0,50,0.9951297359421654
1.0,75,0.9963062254123528
1.0,100,0.9969690506711885
