pop,prob_mut,seed,best_obj,gen_converge
20,0.001,0,-2.6797882387306626,7
20,0.001,1,-2.720694758458084,6
20,0.001,2,-2.7684456408700715,5
20,0.001,3,-2.2713169412769436,250
20,0.001,4,-2.3112552965608564,15
20,0.01,0,-2.8052787864599864,276
20,0.01,1,-2.772073234961592,195
20,0.01,2,-2.7739661040050656,184
20,0.01,3,-2.4944290061043466,263
20,0.01,4,-2.7198588589920325,259
20,0.1,0,-2.909756252505682,143
20,0.1,1,-2.8774031135358973,73
20,0.1,2,-2.891112629566445,91
20,0.1,3,-2.8843352140428253,76
20,0.1,4,-2.892161823200555,65
50,0.001,0,-2.902130210475153,12
50,0.001,1,-2.858267796524975,30
50,0.001,2,-2.7631074265199778,13
50,0.001,3,-2.789507078671721,7
50,0.001,4,-2.823013605376067,128
50,0.01,0,-2.966555622936346,67
50,0.01,1,-2.911903652848865,102
50,0.01,2,-2.912690382389335,49
50,0.01,3,-2.8440805423869775,55
50,0.01,4,-2.843016621480287,290
50,0.1,0,-2.918347008375123,150
50,0.1,1,-2.8950097475372703,70
50,0.1,2,-2.9119002675655943,263
50,0.1,3,-2.903882819362211,37
50,0.1,4,-2.919334250267192,207
100,0.001,0,-2.93664547966865,19
100,0.001,1,-2.8734675544499435,29
100,0.001,2,-2.8780985067578877,12
100,0.001,3,-2.8946020977897,15
100,0.001,4,-2.8301170228674195,6
100,0.01,0,-2.946594552668785,140
100,0.01,1,-2.946610147976439,28
100,0.01,2,-2.899598874339251,19
100,0.01,3,-2.9263749823010925,34
100,0.01,4,-2.8495462653145753,11
100,0.1,0,-2.9198873947416977,10
100,0.1,1,-2.9353874226879557,189
100,0.1,2,-2.897127180370706,42
100,0.1,3,-2.922778042429905,128
100,0.1,4,-2.9297945498225313,233
200,0.001,0,-2.8420110634456535,4
200,0.001,1,-2.9199881711906555,15
200,0.001,2,-2.9334091458198803,21
200,0.001,3,-2.882924522024506,17
200,0.001,4,-2.8856710766952705,3
200,0.01,0,-2.8559989291692767,13
200,0.01,1,-2.9237650634263543,112
200,0.01,2,-2.868905540334121,237
200,0.01,3,-2.9026571852430005,31
200,0.01,4,-2.9093081228665745,103
200,0.1,0,-2.9299482620036423,40
200,0.1,1,-2.926234627593271,34
200,0.1,2,-2.9157331858298843,147
200,0.1,3,-2.923749047435907,290
200,0.1,4,-2.9186970323638866,231
