scenario,source,element,atoms_in,atoms_out_accounted,residual_out_minus_in,relative_residual,residual_percent,absolute_tolerance,relative_tolerance,allowed_absolute_residual,status
1,ASPEN,C,1.916783852,1.91678385468,2.6799999996995894e-09,1.3981753847222986e-09,1.3981753847222985e-07,9.9999999999999995e-07,9.9999999999999995e-07,2.916783852e-06,PASS
1,ASPEN,H,4.3091058320000002,4.3091058247199996,-7.2800006023499009e-09,-1.6894457658216785e-09,-1.6894457658216784e-07,9.9999999999999995e-07,9.9999999999999995e-07,5.3091058319999997e-06,PASS
1,ASPEN,O,3.1120051219999998,3.112005125,3.000000248221113e-09,9.6400877588951248e-10,9.6400877588951254e-08,9.9999999999999995e-07,9.9999999999999995e-07,4.1120051219999995e-06,PASS
1,ANN,C,1.9167838523855121,1.915185330552049,-0.0015985218334630957,-0.00083396040272025094,-0.083396040272025102,9.9999999999999995e-07,9.9999999999999995e-07,2.9167838523855118e-06,FAIL
1,ANN,H,4.3091058319274085,4.306768573820591,-0.002337258106817508,-0.00054239979197078154,-0.05423997919707816,9.9999999999999995e-07,9.9999999999999995e-07,5.3091058319274081e-06,FAIL
1,ANN,O,3.1120051226550114,3.1104947328567505,-0.0015103897982609027,-0.00048534296658622191,-0.048534296658622196,9.9999999999999995e-07,9.9999999999999995e-07,4.1120051226550109e-06,INCOMPLETE_NO_ANN_O2
2,ASPEN,C,1.166846574,1.1668465744400001,4.4000003640576324e-10,3.7708473951071758e-10,3.7708473951071759e-08,9.9999999999999995e-07,9.9999999999999995e-07,2.1668465739999999e-06,PASS
2,ASPEN,H,5.2207548920000004,5.2207548997600002,7.7599997538868593e-09,1.4863750385557956e-09,1.4863750385557957e-07,9.9999999999999995e-07,9.9999999999999995e-07,6.2207548920000001e-06,PASS
2,ASPEN,O,2.0023931739999998,2.0023931749999999,1.000000082740371e-09,4.9940246287534097e-10,4.994024628753409e-08,9.9999999999999995e-07,9.9999999999999995e-07,3.0023931739999994e-06,PASS
2,ANN,C,1.1668465743569478,1.1671589750112616,0.00031240065431381581,0.00026773070357255892,0.026773070357255891,9.9999999999999995e-07,9.9999999999999995e-07,2.1668465743569476e-06,FAIL
2,ANN,H,5.2207548928710752,5.2235104171559215,0.0027555242848462669,0.00052780188715791402,0.052780188715791404,9.9999999999999995e-07,9.9999999999999995e-07,6.2207548928710744e-06,FAIL
2,ANN,O,2.0023931748101562,2.0050689578056335,0.0026757829954773271,0.0013362925069553405,0.13362925069553405,9.9999999999999995e-07,9.9999999999999995e-07,3.0023931748101559e-06,INCOMPLETE_NO_ANN_O2
3,ASPEN,C,1.9990096720000001,1.9990096685399998,-3.4600002862816837e-09,-1.7308572013160742e-09,-1.7308572013160741e-07,9.9999999999999995e-07,9.9999999999999995e-07,2.9990096719999999e-06,PASS
3,ASPEN,H,4.4654411060000001,4.4654410977600003,-8.2399997936022373e-09,-1.8452823803969877e-09,-1.8452823803969875e-07,9.9999999999999995e-07,9.9999999999999995e-07,5.465441106e-06,PASS
3,ASPEN,O,2.2406102843000002,2.2406102801999999,-4.1000003392355211e-09,-1.8298587523070402e-09,-1.8298587523070403e-07,9.9999999999999995e-07,9.9999999999999995e-07,3.2406102843e-06,PASS
3,ANN,C,1.9990096717482608,2.0107145620277151,0.011704890279454316,0.0058553444962663173,0.5855344496266317,9.9999999999999995e-07,9.9999999999999995e-07,2.9990096717482609e-06,FAIL
3,ANN,H,4.4654411056900685,4.4650088450871408,-0.00043226060292766988,-9.6801322130721576e-05,-0.0096801322130721582,9.9999999999999995e-07,9.9999999999999995e-07,5.4654411056900681e-06,FAIL
