case,objective,T,P,Fw,Fc,Fo,FCH4,FH2O,FCO2,FCO,FH2,FCARBON,Q,XCH4,YCO,YH2,E_CO2,Coke_raw,Coke_objective,AbsQ,z_XCH4,z_YCO,z_YH2,z_Coke,z_E_CO2,z_AbsQ,seed,w_XCH4,w_H2,w_CO,w_Coke,w_CO2,w_Duty,population,generations,mutation,input_shift_L2_normalized
baseline,-1.7692856839235629,980.13677232434702,2.6472284899041587,0.152135384210073,0.99447727468474356,0.62388776825520609,7.4671312177088112e-05,0.83535873889923096,0.56719791889190674,1.4229718446731567,1.3147201538085938,-3.7461497413460165e-05,0.23459745943546295,0.99992532868782291,1.4229718446731567,1.3147201538085938,-0.42727935579283682,-3.7461497413460165e-05,0,0.23459745943546295,0.99993181973593925,0.72233931615720792,0.42115654054028684,0,0.37161102435822596,0.0025309681516447395,0,1,1,1,1,1,1,50,1000,0.10000000000000001,0
H2_0.5,-1.5571947723431394,990.32663472349827,1.4768082582891142,0.15527665050486628,0.98706488532214676,0.62530669275602013,-0.00025139166973531246,0.84311503171920776,0.55850571393966675,1.4217590093612671,1.310174822807312,0.00015278650971595198,0.34008842706680298,1.0002513916697353,1.4217590093612671,1.310174822807312,-0.42855917138248001,0.00015278650971595198,0.00015278650971595198,0.34008842706680298,1.0002716854176894,0.72172364787601084,0.41955612519987084,0.00013965555150349777,0.37076846042659389,0.0036705075723989797,0,1,0.5,1,1,1,1,50,1000,0.10000000000000001,0.047502066936138912
H2_2.0,-2.3734696634213481,896.8831207483172,1.0656118990212899,0.15045942070838336,0.99875331215580176,0.044432514242233538,-0.00024170613323803991,0.13515041768550873,0.094079867005348206,1.9062319993972778,2.0081934928894043,0.0035453734453767538,80.034141540527344,1.000241706133238,1.9062319993972778,2.0081934928894043,-0.90467344515045356,0.0035453734453767538,0.0035453734453767538,80.034141540527344,1.0002615898789518,0.96765535034032135,0.66532915849076391,0.003240672784007261,0.057319618532165342,0.86454530246328032,0,1,2,1,1,1,1,50,1000,0.10000000000000001,0.84627784735140466
CO_0.5,-1.4140229823352515,887.96753376815093,2.0633175318377419,0.15762431666995982,0.99884901635938983,0.59460580284664666,0.00026947565493173897,0.74812531471252441,0.60301095247268677,1.3929020166397095,1.4062293767929077,-0.00070840609259903431,0.02899533323943615,0.99973052434506826,1.3929020166397095,1.4062293767929077,-0.39583806388670306,-0.00070840609259903431,0,0.02899533323943615,0.99972876905422781,0.70707505137224014,0.45337702441975458,0,0.39231033349182504,0.00031000333302594232,1,1,1,0.5,1,1,1,50,1000,0.10000000000000001,0.19035119946547677
CO_2.0,-2.6595393128224627,896.87470985772961,1.2610289533827994,0.17314288754122778,0.99705829900850651,0.043658714730586377,0.00039622391341254115,0.14896413683891296,0.10359032452106476,1.8946030139923096,2.0150399208068848,0.0031647155992686749,79.957000732421875,0.99960377608658746,1.8946030139923096,2.0150399208068848,-0.89346797448744175,0.0031647155992686749,0.0031647155992686749,79.957000732421875,0.99959665536555764,0.96175216019887744,0.6677397922296705,0.0028927298829540867,0.064696716837591761,0.86371200844997464,1,1,1,2,1,1,1,50,1000,0.10000000000000001,0.84727459859562826
Coke_0.5,-1.7703853741724993,912.14144857508836,1.3139661109335088,0.15186534535082252,0.99862209252250744,0.59252406269598745,-0.00053080683574080467,0.76035594940185547,0.58190661668777466,1.4128739833831787,1.3890676498413086,-0.00033315943437628448,1.4962409734725952,1.0005308068357408,1.4128739833831787,1.3890676498413086,-0.41671547583473278,-0.00033315943437628448,0,1.4962409734725952,1.0005629286165609,0.71721336637390176,0.44733436414405087,0,0.37856573275748129,0.01615955220453286,0,1,1,1,0.5,1,1,50,1000,0.10000000000000001,0.15097079754664811
Coke_2.0,-1.7681242441033873,906.57009939972431,1.8327588603510687,0.15111622817017006,0.98890140288480544,0.59809837318639425,-1.144774432759732e-05,0.75754547119140625,0.58487117290496826,1.4003572463989258,1.3899713754653931,-0.00046304945135489106,0.32360026240348816,1.0000114477443276,1.4003572463989258,1.3899713754653931,-0.40403022997983717,-0.00046304945135489106,0,0.32360026240348816,1.000021584331966,0.71085952931973184,0.44765256679021764,0,0.38691703798279126,0.0034923983557369801,2,1,1,1,2,1,1,50,1000,0.10000000000000001,0.15458378500225314
CO2_0.5,-1.9611677341461873,880.85817951719014,1.0691587404704816,0.16316067058805647,0.98580451821115722,0.58594021629574489,-0.00058779068058356643,0.73433089256286621,0.59213870763778687,1.390533447265625,1.4289844036102295,-0.00067780888639390469,0.91178977489471436,1.0005877906805836,1.390533447265625,1.4289844036102295,-0.39366581057337036,-0.00067780888639390469,0,0.91178977489471436,1.0006223246668657,0.70587270096147703,0.46138909086326541,0,0.3937404319427219,0.0098461663740601283,1,1,1,1,1,0.5,1,50,1000,0.10000000000000001,0.21403860621336784
CO2_2.0,-1.6293953237013541,930.36914377361177,1.830893883166637,0.15658494571357642,0.99867893747561798,0.011829794863437992,0.010149356909096241,0.10641985386610031,0.069385811686515808,1.9240237474441528,2.0298609733581543,0.005162116140127182,85.421371459960938,0.98985064309090376,1.9240237474441528,2.0298609733581543,-0.92929312578910217,0.005162116140127182,0.005162116140127182,85.421371459960938,0.98943065867578983,0.97668692687188152,0.6729582988373245,0.0047184674734362352,0.041111302988666533,0.92273948723287247,1,1,1,1,1,2,1,50,1000,0.10000000000000001,0.88052793248899697
Duty_0.5,-2.1413926704655202,914.41306953951869,1.0029574483688128,0.21328454394844437,0.99961171147893135,0.00049533849899035674,0.0018151582917198539,0.12449505180120468,0.083123795688152313,1.9188786745071411,2.0834903717041016,0.0051037450321018696,86.729423522949219,0.99818484170828015,1.9188786745071411,2.0834903717041016,-0.91648791579077904,0.0051037450321018696,0.0051037450321018696,86.729423522949219,0.99811765552014864,0.97407514753077051,0.69184126066913187,0.0046651129639425602,0.049541586358295968,0.93686938786458518,2,1,1,1,1,1,0.5,50,1000,0.10000000000000001,0.90500663540673565
Duty_2.0,-1.7652419234722063,977.48032235278288,1.1692395734959087,0.1740785493897527,0.99992516934425646,0.62430291465555598,-0.00037977681495249271,0.85471469163894653,0.57692265510559082,1.4158440828323364,1.3153749704360962,0.00019427770166657865,-0.031193586066365242,1.0003797768149525,1.4158440828323364,1.3153749704360962,-0.42300251423866564,0.00019427770166657865,0.00019427770166657865,0.031193586066365242,1.0004055052847896,0.71872106985591711,0.421387102093564,0.00017758085855563779,0.37442667410027558,0.0003337494016166142,2,1,1,1,1,1,2,50,1000,0.10000000000000001,0.059349700006483194
