case,w_XCH4,w_H2,w_CO,w_Coke,w_CO2,w_Duty,T,P,Fw,Fc,Fo,XCH4_Aspen,YCO_Aspen,YH2_Aspen,Coke_Aspen,E_CO2_Aspen,Q_Aspen_kW,objective_ANN,objective_Aspen,objective_delta_Aspen_minus_ANN,dXCH4_from_baseline,dYCO_from_baseline,dYH2_from_baseline,dCoke_from_baseline,dE_CO2_from_baseline,dQ_from_baseline_kW,atom_closure,PER_ERROR,RUN_STATUS
baseline,1,1,1,1,1,1,980.13677232434702,2.6472284899041587,0.152135384210073,0.99447727468474356,0.62388776825520598,0.99974667084000002,1.42716413,1.3240470200000001,0,-0.4274174576847436,0.99385454022399999,-1.7692856839235629,-1.7664008170633259,0.0028848668602370342,0,0,0,0,0,0,PASS,1,unavailable
H2_0.5,1,0.5,1,1,1,1,990.32663472349827,1.4768082582891142,0.15527665050486619,0.98706488532214676,0.62530669275602013,0.99993464620119998,1.4280361399999999,1.32108906,0,-0.42810149032214673,1.2344427032080001,-1.5571947723431394,-1.5521498248729906,0.0050449474701488306,0.00018797536119996572,0.00087200999999992312,-0.0029579600000000372,0,-0.00068403263740313136,0.2405881629840001,PASS,1,unavailable
H2_2.0,1,2,1,1,1,1,896.8831207483172,1.0656118990212899,0.15045942070838331,0.99875331215580165,0.044432514242233503,0.99474651030000005,1.8891545000000001,2.00096652,0,-0.89440798615580164,79.169974352000011,-2.3734696634213477,-2.3598009719654955,0.013668691455852144,-0.0050001605399999649,0.46199037000000009,0.6769194999999999,0,-0.46699052847105804,78.176119811776005,PASS,1,unavailable
CO_0.5,1,1,0.5,1,1,1,887.96753376815093,2.0633175318377415,0.1576243166699598,0.99884901635938983,0.59460580284664655,0.99887125642999997,1.3958857,1.4103877199999999,0,-0.39701444035938982,0.59229188088800011,-1.4140229823352517,-1.4100383934332916,0.0039845889019600733,-0.00087541441000005271,-0.031278429999999968,0.086340699999999826,0,0.030403017325353776,-0.40156265933599988,PASS,1,unavailable
CO_2.0,1,1,2,1,1,1,896.87470985772961,1.2610289533827994,0.1731428875412277,0.9970582990085064,0.043658714730586301,0.99327904408000001,1.8776507600000001,2.0081479899999999,0,-0.88437171400850634,79.181788294400008,-2.6595393128224623,-2.6385875992987211,0.020951713523741144,-0.0064676267600000115,0.45048663000000011,0.68410096999999981,0,-0.45695425632376274,78.187933754176001,PASS,1,unavailable
Coke_0.5,1,1,1,0.5,1,1,912.14144857508836,1.3139661109335088,0.15186534535082249,0.99862209252250744,0.59252406269598745,0.99972277126300002,1.4165575800000001,1.39728538,0,-0.41683481252250743,2.1332648213360001,-1.7703853741724995,-1.7675037745067108,0.0028815996657887144,-2.389957699999723e-05,-0.010606549999999881,0.073238359999999947,0,0.010582645162236171,1.1394102811120002,PASS,1,unavailable
Coke_2.0,1,1,1,2,1,1,906.57009939972443,1.8327588603510687,0.15111622817017001,0.98890140288480544,0.59809837318639425,0.99939934199299996,1.4038826600000001,1.3975179600000001,0,-0.40448332288480549,0.94663330117600009,-1.7681242441033875,-1.7655011190977852,0.0026231250056023558,-0.00034732884700006128,-0.023281469999999915,0.073470939999999985,0,0.022934134799938111,-0.047221239047999908,PASS,1,unavailable
CO2_0.5,1,1,1,1,0.5,1,880.85817951719002,1.0691587404704816,0.16316067058805639,0.98580451821115722,0.58594021629574478,0.99962471855799995,1.39375278,1.43286567,0,-0.39412805721115718,1.4163843365040001,-1.9611677341461873,-1.9578661172898257,0.0033016168563615444,-0.00012195228200007069,-0.033411349999999951,0.10881864999999991,0,0.033289400473586417,0.42252979628000009,PASS,1,unavailable
CO2_2.0,1,1,1,1,2,1,930.36914377361154,1.830893883166637,0.1565849457135764,0.99867893747561798,0.0118297948634379,0.9894895118,1.9112511000000001,2.0230473600000001,0,-0.92176158807561803,84.782405759200003,-1.6293953237013548,-1.6218400693437431,0.0075552543576116182,-0.010257159040000019,0.48408697000000012,0.69900034,0,-0.49434413039087444,83.788551218975996,PASS,1,unavailable
Duty_0.5,1,1,1,1,1,0.5,914.41306953951869,1.0029574483688128,0.21328454394844429,0.99961171147893124,0.00049533849899030004,0.99609783625000003,1.9064705799999999,2.0769300899999998,0,-0.91037274177893124,86.273994646399998,-2.1413926704655197,-2.1337077789378771,0.0076848915276426233,-0.003648834589999983,0.47930644999999994,0.75288306999999977,0,-0.48295528409418764,85.280140106175992,PASS,1,unavailable
Duty_2.0,1,1,1,1,1,2,977.48032235278276,1.1692395734959089,0.1740785493897527,0.99992516934425635,0.62430291465555587,0.99994956607929997,1.42182228,1.3293701499999999,0,-0.42187271834425633,0.94036783648800004,-1.7652419234722065,-1.752547446800566,0.012694476671640587,0.00020289523929994946,-0.0053418499999999813,0.0053231299999998427,0,0.0055447393404872702,-0.053486703735999952,PASS,1,unavailable
